Feature,Importance
Is_White_Friday,0.18512893
Lag_1,0.16853876
Is_Thursday,0.14045833
Is_Eid_Adha,0.072158806
Is_Weekend,0.05035044
Rolling_Mean_7,0.044313733
Is_Payday_Late,0.027643893
Rolling_Std_7,0.02500434
Rolling_Std_14,0.024381489
DOW_Avg,0.02263143
Rolling_Std_28,0.0207185
Rolling_Mean_28,0.018916126
Month_Avg,0.016636405
Growth_Rate_7d,0.016600614
Is_Winter,0.015850613
Rolling_Mean_14,0.015403651
Month,0.014611068
Lag_3,0.013691009
Day,0.01361676
DayOfWeek,0.013138938
Is_Payday,0.012925114
Growth_Rate_28d,0.011697022
Lag_7,0.010583325
Lag_2,0.0095541775
Lag_14,0.0069955536
Lag_28,0.006672904
Is_Summer,0.0062975218
Is_Payday_Early,0.0058326605
Is_Ramadan,0.0048882226
Ramadan_Phase,0.0047597
Is_School_Season,0.0
Is_Eid_Fitr,0.0
Is_Coptic_Christmas,0.0
